,FIPS_NAME,LATITUDE,LONGITUDE,FIRE_NAME,FIRE_SIZE,FIRE_SIZE_CLASS,FIRE_YEAR,DISCOVERY_DATE,CONTAIN_DATE,CAUSE_CLASSIFICATION,CAUSE
0,Mono County,38.0,-119.0,ROBINSON CAMP GROUND,0.1,A,2017,2017-10-13,2017-10-13,Human,Recreation and ceremony
1,Mono County,38.39472222,-119.17111111,LITTLE FIRE,0.1,A,2017,2017-07-24,2017-07-25,Natural,Natural
2,Mono County,38.0,-119.0,WATER,39.0,C,2017,2017-08-07,2017-08-08,Natural,Natural
3,Mono County,38.00333333,-119.005,KIRMAN FIRE,0.1,A,2017,2017-08-09,2017-08-10,Natural,Natural
4,Mono County,38.02361111,-119.05361111,MEADOW FIRE,0.1,A,2017,2017-08-21,2017-08-21,Natural,Natural
5,Amador County,38.0,-119.0,NIGHTHAWK,0.1,A,2017,2017-09-12,2017-09-13,Natural,Natural
6,Mono County,38.0,-119.0,BURNINGCREEK FIRE,0.1,A,2017,2017-09-24,2017-09-24,Human,Recreation and ceremony
7,Mono County,38.0,-119.0,CHRIS FIRE,370.0,E,2017,2017-11-13,2017-11-14,Human,Equipment and vehicle use
8,Sierra County,39.69222222,-120.04388889,EVANS,168.0,D,2017,2017-06-20,2017-06-21,Natural,Natural
9,Sierra County,39.53305556,-120.02333333,DOG VALLEY,0.01,A,2017,2017-06-14,2017-06-14,Human,Debris and open burning
10,Alpine County,38.77777778,-119.95333333,WATERHOUSE,0.25,A,2017,2017-08-04,2017-08-05,Natural,Natural
11,Sierra County,39.60694444,-120.03833333,CRYSTAL,0.1,A,2017,2017-07-29,2017-07-29,Natural,Natural
12,Sierra County,39.67666667,-120.05916667,GREEN GULCH,4.1,B,2017,2017-07-06,2017-07-07,Natural,Natural
13,Alpine County,38.62638889,-119.90888889,TAMARACK,0.1,A,2017,2017-08-20,2017-08-20,Natural,Natural
14,Alpine County,38.60444444,-119.74861111,SILVER,0.1,A,2017,2017-09-12,2017-09-13,Natural,Natural
15,Alpine County,38.71888889,-119.89444444,BURNSIDE,0.25,A,2017,2017-10-04,2017-10-04,Human,Missing data/not specified/undetermined
16,El Dorado County,38.70222222,-120.31666667,MILL,0.1,A,2017,2017-07-12,2017-07-12,Human,Missing data/not specified/undetermined
17,El Dorado County,38.7025,-120.31638889,MORMON,0.11,A,2017,2017-07-10,2017-07-10,Human,Missing data/not specified/undetermined
