,COUNTY,LATITUDE,LONGITUDE,FIRE_NAME,FIRE_SIZE,FIRE_SIZE_CLASS,FIRE_YEAR,DISCOVERY_DATE,CONTAIN_DATE,CAUSE_CLASSIFICATION,CAUSE,FREQUENCY
0,Mono County,38.0,-119.0,ROBINSON CAMP GROUND,0.1,A,2017,20171013,20171013,Human,Recreation and ceremony,0.08490566037735849
1,Mono County,38.39472222,-119.17111111,LITTLE FIRE,0.1,A,2017,20170724,20170725,Natural,Natural,0.08490566037735849
2,Mono County,38.0,-119.0,WATER,39.0,C,2017,20170807,20170808,Natural,Natural,0.08490566037735849
3,Mono County,38.00333333,-119.005,KIRMAN FIRE,0.1,A,2017,20170809,20170810,Natural,Natural,0.08490566037735849
4,Mono County,38.02361111,-119.05361111,MEADOW FIRE,0.1,A,2017,20170821,20170821,Natural,Natural,0.08490566037735849
5,Mono County,38.0,-119.0,BURNINGCREEK FIRE,0.1,A,2017,20170924,20170924,Human,Recreation and ceremony,0.08490566037735849
6,Mono County,38.0,-119.0,CHRIS FIRE,370.0,E,2017,20171113,20171114,Human,Equipment and vehicle use,0.08490566037735849
7,Mono County,38.04444444,-119.23111111,VIRGINIA,1.0,B,2017,20170812,20170812,Natural,Natural,0.08490566037735849
8,Mono County,37.80805556,-119.04833333,HARTLEY,0.1,A,2017,20170815,20170815,Human,Equipment and vehicle use,0.08490566037735849
9,Mono County,37.52138889,-118.60111111,TESSO,0.1,A,2017,20170619,20170619,Human,Equipment and vehicle use,0.08490566037735849
10,Mono County,38.0,-119.0,TWINLAKES FIRE,0.25,A,2017,20170911,20170913,Natural,Natural,0.08490566037735849
11,Mono County,37.77138889,-119.09416667,NORTH,0.1,A,2017,20170730,20170730,Human,Recreation and ceremony,0.08490566037735849
12,Mono County,37.76694444,-119.11555556,STEELHEAD,0.1,A,2017,20170321,20170321,Human,Arson/incendiarism,0.08490566037735849
13,Mono County,37.57166667,-118.78416667,MCGEE,0.1,A,2017,20170716,20170716,Natural,Natural,0.08490566037735849
14,Mono County,38.36305556,-119.52972222,PICKLE,0.1,A,2017,20170624,20170624,Natural,Natural,0.08490566037735849
15,Mono County,38.0325,-119.19222222,COPPER,0.1,A,2017,20170618,20170619,Natural,Natural,0.08490566037735849
16,Mono County,37.77972222,-119.04694444,OBSIDIAN,0.1,A,2017,20170903,20170903,Human,Equipment and vehicle use,0.08490566037735849
17,Mono County,37.78111111,-119.06666667,LAKE,0.25,A,2017,20170913,20170915,Natural,Natural,0.08490566037735849
18,Mono County,37.84666667,-118.8575,SAGEHEN,0.25,A,2017,20170913,20170913,Natural,Natural,0.08490566037735849
19,Mono County,37.80138889,-118.85916667,PILOT,0.3,B,2017,20171021,20171022,Human,Recreation and ceremony,0.08490566037735849
20,Mono County,37.501406,-118.582385,SUV,0.1,A,2017,20170401,20170401,Human,Equipment and vehicle use,0.08490566037735849
21,Mono County,38.018756,-119.156185,POLE,0.1,A,2017,20170501,20170501,Human,Power generation/transmission/distribution,0.08490566037735849
22,Mono County,37.530475,-118.367388,CHALFANT,0.1,A,2017,20170609,20170609,Human,Missing data/not specified/undetermined,0.08490566037735849
23,Mono County,38.284403,-119.01599,CLIFF,1.0,B,2017,20170725,20170725,Natural,Natural,0.08490566037735849
24,Mono County,37.963008,-119.0933,PICNIC,15.0,C,2017,20170814,20170817,Human,Smoking,0.08490566037735849
25,Mono County,38.611875,-119.549587,SLINKARD,8925.0,G,2017,20170829,20170921,Natural,Natural,0.08490566037735849
26,Mono County,37.500325,-118.40549,SNAKE,2.2,B,2017,20170912,20170917,Natural,Natural,0.08490566037735849
27,Mono County,37.643014,-118.799587,BENTON,0.1,A,2017,20171101,20171101,Human,Equipment and vehicle use,0.08490566037735849
28,Mono County,37.534014,-118.37089,GUN,0.3,B,2017,20171231,20171231,Human,Firearms and explosives use,0.08490566037735849
29,Mono County,37.59972222,-118.59,CASA,0.1,A,2018,20180702,20180702,Natural,Natural,0.08490566037735849
30,Mono County,37.52333333,-118.70416667,ASPEN,0.1,A,2018,20180721,20180721,Natural,Natural,0.08490566037735849
31,Mono County,37.52305556,-118.62111111,WITCHER,0.1,A,2018,20180725,20180725,Natural,Natural,0.08490566037735849
32,Mono County,38.26694444,-119.33722222,YANEY,0.85,B,2018,20180815,20180816,Natural,Natural,0.08490566037735849
33,Mono County,38.36027778,-119.485,PICKLE,0.25,A,2018,20180906,20180906,Natural,Natural,0.08490566037735849
34,Mono County,38.43416667,-119.21638889,SWEET,0.1,A,2018,20180720,20180721,Natural,Natural,0.08490566037735849
35,Mono County,38.29277778,-119.31694444,PATTERSON,0.1,A,2018,20180720,20180720,Natural,Natural,0.08490566037735849
36,Mono County,38.23972222,-119.38361111,GORILLA,0.25,A,2018,20180720,20180721,Natural,Natural,0.08490566037735849
37,Mono County,38.43638889,-119.50388889,LOST CANNON PEAK,0.1,A,2018,20180720,20180724,Natural,Natural,0.08490566037735849
38,Mono County,38.35194444,-119.19277778,MURPHY,0.1,A,2018,20180724,20180724,Natural,Natural,0.08490566037735849
39,Mono County,38.36638889,-119.33861111,SWAUGER,0.1,A,2018,20180720,20180721,Natural,Natural,0.08490566037735849
40,Mono County,38.34611111,-119.37861111,DEVILS GATE,0.1,A,2018,20180720,20180722,Natural,Natural,0.08490566037735849
41,Mono County,38.35388889,-119.49027778,WALKER CREEK,1.0,B,2018,20180908,20180908,Natural,Natural,0.08490566037735849
42,Mono County,38.1675,-119.5675,RUTH,0.25,A,2018,20180925,20180925,Natural,Natural,0.08490566037735849
43,Mono County,38.40083333,-119.35111111,LOBDELL,0.25,A,2018,20181005,20181005,Natural,Natural,0.08490566037735849
44,Mono County,38.42138889,-119.17138889,182,0.1,A,2018,20180715,20180716,Natural,Natural,0.08490566037735849
45,Mono County,38.38333333,-119.16833333,WATER CANYON,0.1,A,2018,20181013,20181013,Human,Recreation and ceremony,0.08490566037735849
46,Mono County,37.53111111,-118.72222222,ROCK,0.1,A,2018,20180720,20180722,Natural,Natural,0.08490566037735849
