OBJECTID,poly_SourceOID,poly_IncidentName,poly_FeatureCategory,poly_MapMethod,poly_GISAcres,poly_CreateDate,poly_DateCurrent,poly_PolygonDateTime,poly_IRWINID,poly_FORID,poly_Acres_AutoCalc,poly_SourceGlobalID,poly_Source,attr_SourceOID,attr_ABCDMisc,attr_ADSPermissionState,attr_CalculatedAcres,attr_ContainmentDateTime,attr_ControlDateTime,attr_CreatedBySystem,attr_IncidentSize,attr_DiscoveryAcres,attr_DispatchCenterID,attr_EstimatedCostToDate,attr_FinalAcres,attr_FFReportApprovedByTitle,attr_FFReportApprovedByUnit,attr_FFReportApprovedDate,attr_FireBehaviorGeneral,attr_FireBehaviorGeneral1,attr_FireBehaviorGeneral2,attr_FireBehaviorGeneral3,attr_FireCause,attr_FireCauseGeneral,attr_FireCauseSpecific,attr_FireCode,attr_FireDepartmentID,attr_FireDiscoveryDateTime,attr_FireMgmtComplexity,attr_FireOutDateTime,attr_FireStrategyConfinePercent,attr_FireStrategyFullSuppPrcnt,attr_FireStrategyMonitorPercent,attr_FireStrategyPointZonePrcnt,attr_FSJobCode,attr_FSOverrideCode,attr_GACC,attr_ICS209ReportDateTime,attr_ICS209RptForTimePeriodFrom,attr_ICS209RptForTimePeriodTo,attr_ICS209ReportStatus,attr_IncidentManagementOrg,attr_IncidentName,attr_IncidentShortDescription,attr_IncidentTypeCategory,attr_IncidentTypeKind,attr_InitialLatitude,attr_InitialLongitude,attr_InitialResponseAcres,attr_InitialResponseDateTime,attr_IrwinID,attr_IsFireCauseInvestigated,attr_IsFireCodeRequested,attr_IsFSAssisted,attr_IsMultiJurisdictional,attr_IsReimbursable,attr_IsTrespass,attr_IsUnifiedCommand,attr_LocalIncidentIdentifier,attr_ModifiedBySystem,attr_PercentContained,attr_PercentPerimToBeContained,attr_POOCity,attr_POOCounty,attr_POODispatchCenterID,attr_POOFips,attr_POOJurisdictionalAgency,attr_POOJurisdictionalUnit,attr_POOJurisdictUnitParentUnit,attr_POOLandownerCategory,attr_POOLandownerKind,attr_POOLegalDescPrincipalMerid,attr_POOLegalDescQtr,attr_POOLegalDescQtrQtr,attr_POOLegalDescRange,attr_POOLegalDescSection,attr_POOLegalDescTownship,attr_POOPredictiveServiceAreaID,attr_POOProtectingAgency,attr_POOProtectingUnit,attr_POOState,attr_PredominantFuelGroup,attr_PredominantFuelModel,attr_PrimaryFuelModel,attr_SecondaryFuelModel,attr_TotalIncidentPersonnel,attr_UniqueFireIdentifier,attr_FORID,attr_WFDSSDecisionStatus,attr_EstimatedFinalCost,attr_OrganizationalAssessment,attr_StratDecisionPublishDate,attr_CreatedOnDateTime_dt,attr_ModifiedOnDateTime_dt,attr_Source,attr_IsCpxChild,attr_CpxName,attr_CpxID,attr_SourceGlobalID,GlobalID,SHAPE_Length,SHAPE_Area
6140,5589,Polk 0232,Wildfire Final Fire Perimeter,Mixed Methods,4.06718,,2023/03/14 15:13:43+00,2023/01/18 17:02:00+00,{19A09CAF-8A6C-4BA4-B127-EFFBF0A584A4},{0D753490-A8CA-480F-B518-F40BC152FAA5},4.067181474,{3BC65686-2BC0-45FA-ADDF-A16ACB29D9CA},FFP,1768185,,CERTIFIED,,2023/01/13 23:29:10+00,,wires,4,,TXTIC,,,,,2023/01/18 17:01:53+00,,,,,,,,,,2023/01/13 21:41:49+00,Type 5 Incident,,,,,,,,SACC,,,,,,Polk 0232,,WF,FI,30.75172948,-94.61340782,,,,,,,,,,,230232,wires,,,,Polk,TXTIC,48373,SFS,TXTXS,,Private,Private,,,,,,,,SFS,TXTXS,US-TX,Timber,TL1,,,,2023-TXTXS-230232,{0D753490-A8CA-480F-B518-F40BC152FAA5},,,,,2023/01/13 22:10:27+00,2023/01/18 16:00:47+00,FODR,,,,{5DAB3D30-2927-4D6C-86A4-542601EAD262},{55516D7D-0657-46CF-AB19-029E636EB324},0.005346016,-1.55E-06
7969,5435,Yucca,Wildfire Final Fire Perimeter,Image Interpretation,779.03,,2023/03/14 15:13:43+00,2023/02/15 18:09:20+00,{E340498A-D4C2-4D70-8FF9-29D3B7B8F973},{776F07DF-AD65-4F1B-80CB-98D05605B15A},356.4158595,{CFB47D53-A402-434B-A78F-155FAC496211},FFP,1768044,,CERTIFIED,,2023/01/06 23:32:59+00,2023/01/07 01:25:00+00,INFORM_Inspector,850,,TXTIC,,,,,2023/02/15 18:09:15+00,,,,,,,,,KZ402,2023/01/06 21:22:00+00,,2023/01/09 15:37:36+00,,,,,,,SACC,,,,,,Yucca,,WF,FI,,,,,,1,,0,,,0,,LAP023003,INFORM_Inspector,,,,Hutchinson,TXTIC,48233,,,,Private,Private,,,,,,,,SFS,TXTXS,US-TX,Grass-Shrub,GS2,,,,2023-TXTXS-LAP023003,{776F07DF-AD65-4F1B-80CB-98D05605B15A},,,,,2023/01/09 15:37:26+00,2023/01/09 15:37:26+00,FODR,,,,{CEDEF35B-F302-452A-853B-C5BE18568878},{92D3B036-E946-4CCD-B0A3-C7145273015A},0.078153081,-0.000143787
14686,947,Walker 0343,Wildfire Daily Fire Perimeter,Mixed Methods,5.884683977,2023/01/24 16:36:19+00,2023/01/24 16:37:05+00,2023/01/23 23:55:00+00,{0EBD9FEB-9BF0-4403-9B5C-716F3D9508A8},,5.884677129,{F1F9C0FF-7C83-4A59-8EAB-ED8587713FCF},2023 NIFS,23874309,,DEFAULT,,2023/01/23 18:57:00+00,,wires,6,6,TXTIC,,,,,,Minimal,,,,Human,Debris and open burning,,,,2023/01/23 17:55:00+00,Type 5 Incident,,,,,,,,SACC,,,,,,Walker 0343,,WF,FI,30.63368572,-95.67870703,,,{0EBD9FEB-9BF0-4403-9B5C-716F3D9508A8},,0,,,,,0,230343,wires,100,,,Walker,TXTIC,48471,State,TXTXS,,Private,Private,,,,,,,SA12,SFS,TXTXS,US-TX,,,Short Grass (1 foot),,,2023-TXTXS-230343,,No Decision,,,,2023/01/23 18:29:02+00,2023/03/01 21:54:39+00,IRWIN,0,,,{276E20D1-833A-44A4-BECB-F36171DBB1AE},{6EFAD1DC-BF05-4378-B470-BA1B84F001EE},0.007428592,-2.24E-06
14688,949,Transformer,Wildfire Daily Fire Perimeter,Mixed Methods,23.03341249,2023/01/24 16:39:33+00,2023/01/24 16:40:08+00,2023/01/18 04:23:30+00,{06A4C0B6-5956-44C0-A7CC-F243505BC574},,23.03342337,{AD7A4F46-F1F5-4E62-9C6A-962620BF65CF},2023 NIFS,23873871,,DEFAULT,,2023/01/19 14:43:02+00,2023/01/23 14:11:23+00,wires,23,23,TXTIC,,23,,,,,,,,Human,Power generation/transmission/distribution,Electrical transmission/distribution systems,,,2023/01/17 22:23:30+00,Type 5 Incident,2023/01/23 14:11:36+00,,,,,,,SACC,,,,,,Transformer,,WF,FI,32.17277778,-97.67472222,,,{06A4C0B6-5956-44C0-A7CC-F243505BC574},,0,,,,,0,230294,wires,100,,,Bosque,TXTIC,48035,State,TXTXS,,Private,Private,,,,,,,SA11,SFS,TXTXS,US-TX,,,,,,2023-TXTXS-230294,,No Decision,,,,2023/01/17 23:39:08+00,2023/01/23 14:11:53+00,IRWIN,0,,,{F005ED8E-A1F3-4752-A393-92BDDFE25735},{F6C84EFB-E0DF-4441-B9DE-2DE5763F5F77},0.013644974,-8.91E-06
14689,642,Franklin 0242,Wildfire Daily Fire Perimeter,Mixed Methods,0.241023617,2023/01/17 16:56:35+00,2023/01/17 16:57:15+00,2023/01/15 00:47:47+00,{A92C4D2F-C690-4D66-8FA3-C61F35E538ED},,0.241023726,{F133AB1B-58FF-4400-BC5D-80CBFBE21ED9},2023 NIFS,23873712,,DEFAULT,,2023/01/15 00:54:12+00,,wires,1,1,TXTIC,,,,,,Minimal,,,,Human,Debris and open burning,Yard debris,,,2023/01/14 22:44:12+00,Type 5 Incident,,,,,,,,SACC,,,,,,Franklin 0242,,WF,FI,33.18008333,-95.1594,,,{A92C4D2F-C690-4D66-8FA3-C61F35E538ED},,0,,,,,1,230242,wires,100,,,Franklin,TXTIC,48159,State,TXTXS,,Private,Private,,,,,,,SA07,SFS,TXTXS,US-TX,,SB3,Timber (Litter and Understory),,,2023-TXTXS-230242,,No Decision,,,,2023/01/15 01:01:06+00,2023/02/20 18:17:41+00,IRWIN,0,,,{519F3D54-A0CB-41FE-A60C-72C0D4348B8F},{11361D2A-6254-464C-A171-251B97A6C99B},0.001307235,-9.43E-08
14690,951,Anderson 0290,Wildfire Daily Fire Perimeter,Mixed Methods,2.002794111,2023/01/24 16:42:06+00,2023/01/24 16:42:35+00,2023/01/18 02:37:00+00,{250DA211-9417-4B69-949B-C4AA5E7FA134},,2.002794957,{02D4E6E7-B1B6-4B09-BC3E-B188B2681EDB},2023 NIFS,23873856,,DEFAULT,,2023/01/17 22:34:00+00,2023/01/17 22:34:00+00,wires,2.5,2.5,TXTIC,,,,,,Moderate,,,,Human,Debris and open burning,,,,2023/01/17 20:37:00+00,Type 5 Incident,,,,,,,,SACC,,,,,,Anderson 0290,,WF,FI,31.77663356,-95.73817099,,,{250DA211-9417-4B69-949B-C4AA5E7FA134},,0,,,,,1,230290,wires,100,,,Anderson,TXTIC,48001,State,TXTXS,,Private,Private,,,,,,,SA12,SFS,TXTXS,US-TX,,,Timber (Litter and Understory),,,2023-TXTXS-230290,,No Decision,,,,2023/01/17 21:12:42+00,2023/03/08 17:10:58+00,IRWIN,0,,,{2890F01A-15E8-4097-9480-F7CF81F7CCFB},{354969BF-A1EF-4968-936C-3BC76C6537A1},0.00447986,-7.72E-07
14691,1501,DISK,Wildfire Daily Fire Perimeter,GPS-Walked/Driven,19,2023/02/07 15:21:32+00,2023/02/07 15:21:32+00,2023/01/30 19:14:45+00,{408DA9F0-5A3E-4D40-84E7-135DD427A099},,18.07268488,{3626D763-5CE9-41B6-A309-7131828BF334},2023 NIFS,23874700,,FIREREPORTING,,2023/01/29 14:00:00+00,2023/02/07 18:00:00+00,wildcad,19,19,ARAOC,,,,,,,,,,Human,,,P5BK,,2023/01/28 21:14:59+00,,2023/02/07 18:00:00+00,,,,,PA,1522,SACC,,,,,,DISK,,WF,FI,36.51051,-96.26263,,,{408DA9F0-5A3E-4D40-84E7-135DD427A099},,0,1,0,0,0,,204,wildcad,,,,Osage,ARAOC,40113,,,,Private,Private,,,,,,,SA03,BIA,OKOSA,US-OK,,,,,,2023-OKOSA-000204,,No Decision,,,,2023/01/29 16:21:06+00,2023/02/07 19:14:11+00,IRWIN,0,,,{24CEF0F7-DAA8-4882-B88E-A31318FBE8E0},{CDBABFC7-671E-437E-9066-217B1920E7D9},0.011053178,-7.36E-06
14692,655,Angelina 0102,Wildfire Daily Fire Perimeter,Mixed Methods,1.264979261,2023/01/17 17:30:04+00,2023/01/17 17:31:01+00,2023/01/07 02:05:00+00,{AD5EE3A4-96E7-4451-9A04-3EB13EC73A29},,1.264979678,{461474E9-BC40-47C2-A79E-849DD977AB2E},2023 NIFS,23872981,,DEFAULT,,2023/01/06 21:46:00+00,2023/01/06 22:31:59+00,wires,1.3,1.3,TXTIC,,1.3,,,,Moderate,,,,Human,Undetermined (remarks required),,,,2023/01/06 20:05:00+00,Type 5 Incident,2023/01/27 22:00:01+00,,,,,,,SACC,,,,,,Angelina 0102,,WF,FI,31.41183,-94.93125,,,{AD5EE3A4-96E7-4451-9A04-3EB13EC73A29},,0,,,,,0,230102,wires,100,,,Angelina,TXTIC,48005,State,TXTXS,,Private,Private,,,,,,,SA12,SFS,TXTXS,US-TX,,,Timber (Litter and Understory),,,2023-TXTXS-230102,,No Decision,,,,2023/01/06 21:18:04+00,2023/02/20 18:14:29+00,IRWIN,0,,,{222FD61E-86E5-4528-8AD0-0D978879C1FF},{B59C8283-B15E-4097-8D6E-A8D0F978F705},0.004203728,-4.86E-07
14695,656,Lamar 0003,Wildfire Daily Fire Perimeter,Mixed Methods,51.48750308,2023/01/17 17:32:11+00,2023/01/17 17:32:59+00,2023/01/02 01:33:00+00,{BB4DC705-5A5D-4DA3-BF14-7AA365961C79},,51.48752335,{00449A4B-5D0F-43C7-9BAA-ACB478E9F0D3},2023 NIFS,23872293,,DEFAULT,,2023/01/01 23:22:00+00,2023/01/03 14:27:00+00,wires,50,50,TXTIC,,50,,,,Moderate,,,,Human,Debris and open burning,Other (remarks required),,,2023/01/01 19:33:00+00,Type 5 Incident,2023/01/04 22:01:01+00,,,,,,,SACC,,,,,,Lamar 0003,,WF,FI,33.84828,-95.727833,,,{BB4DC705-5A5D-4DA3-BF14-7AA365961C79},,0,,,,,0,230003,wires,100,,,Lamar,TXTIC,48277,State,TXTXS,,Private,Private,,,,,,,SA07,SFS,TXTXS,US-TX,,,Short Grass (1 foot),,,2023-TXTXS-230003,,No Decision,,,,2023/01/01 21:26:33+00,2023/02/20 18:28:37+00,IRWIN,0,,,{8AF46200-842C-44C4-B9B9-AD181542178A},{D4D28FBB-7927-4770-86CF-AC47A22BDE4A},0.022321987,-2.03E-05
14697,648,Liberty 0229,Wildfire Daily Fire Perimeter,Mixed Methods,21.53501123,2023/01/17 17:16:29+00,2023/01/17 17:17:11+00,2023/01/14 01:55:31+00,{45796F3E-2B97-4EC9-B5EE-A460B53644DD},,21.53503901,{E268A0C6-0249-4C6F-963B-6D819472575A},2023 NIFS,23873642,,DEFAULT,,2023/01/13 22:19:04+00,,wires,21,21,TXTIC,,,,,,Minimal,,,,Undetermined,,,,,2023/01/13 19:55:31+00,Type 5 Incident,,,,,,,,SACC,,,,,,Liberty 0229,,WF,FI,30.04776709,-94.63764913,,,{45796F3E-2B97-4EC9-B5EE-A460B53644DD},,0,,,,,0,230229,wires,100,,,Liberty,TXTIC,48291,State,TXTXS,,Private,Private,,,,,,,SA13,SFS,TXTXS,US-TX,,,Timber (Grass and Understory),,,2023-TXTXS-230229,,No Decision,,,,2023/01/13 21:25:15+00,2023/03/01 22:05:33+00,IRWIN,0,,,{1E1ED7B4-4072-4437-BF63-EAEE2B0B1A84},{7F43F833-F8F1-41A8-938A-EE1B91EB245C},0.01764176,-8.15E-06
